City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,2.88,94,100,3.77,IS,1718762004
1,yulinshi,38.2906,109.7494,28.73,39,12,5.51,CN,1718761740
2,stanley,54.868,-1.6985,9.01,94,75,1.54,GB,1718762005
3,flying fish cove,-10.4217,105.6791,26.82,78,75,7.2,CX,1718762005
4,mugia,43.1041,-9.2179,12.31,88,86,1.35,ES,1718762005
5,kingston,17.997,-76.7936,29.53,74,20,6.17,JM,1718762006
6,blackmans bay,-43.0167,147.3167,9.29,86,96,0.89,AU,1718762006
7,puerto natales,-51.7236,-72.4875,-4.72,95,99,2.19,CL,1718762006
8,ushuaia,-54.8,-68.3,-1.19,80,100,4.12,AR,1718762007
9,adamstown,-25.066,-130.1015,20.65,93,100,7.01,PN,1718762007
10,shijiang,27.0819,110.7933,23.05,98,100,0.41,CN,1718762007
11,port-aux-francais,-49.35,70.2167,2.58,68,96,11.59,TF,1718762008
12,jolo,6.05,121.0167,29.54,72,100,0.98,PH,1718762008
13,olonkinbyen,70.9221,-8.7187,0.51,99,100,4.34,SJ,1718762008
14,xilin hot,43.9667,116.0333,28.14,33,100,6.49,CN,1718762008
15,klaksvik,62.2266,-6.589,8.51,80,100,8.48,FO,1718762009
16,invercargill,-46.4,168.35,8.9,64,89,5.36,NZ,1718762009
17,al bayda',32.7627,21.7551,19.97,57,0,2.0,LY,1718762009
18,mount gambier,-37.8333,140.7667,10.72,56,100,2.92,AU,1718762010
19,west island,-12.1568,96.8225,26.99,94,75,6.17,CC,1718762010
20,waitangi,-43.9535,-176.5597,8.79,93,52,1.34,NZ,1718762011
21,kill devil hills,36.0307,-75.676,24.43,78,0,1.54,US,1718762011
22,filey,54.21,-0.2892,12.1,87,27,5.97,GB,1718762011
23,togur,58.3631,82.8265,9.3,45,2,6.39,RU,1718762012
24,yahualica de gonzalez gallo,21.1333,-102.85,26.87,34,75,4.4,MX,1718762012
25,nemuro,43.3236,145.575,10.66,100,100,3.62,JP,1718762012
26,nova sintra,14.8667,-24.7167,23.98,81,66,2.3,CV,1718762012
27,port alfred,-33.5906,26.891,15.94,56,8,4.0,ZA,1718762013
28,daru,-9.0763,143.2092,26.4,64,30,6.15,PG,1718762013
29,diu,20.7141,70.9822,30.15,71,100,6.54,IN,1718762013
30,kapuskasing,49.4169,-82.4331,30.05,48,20,6.69,CA,1718762014
31,college,64.8569,-147.8028,25.99,33,75,4.63,US,1718762014
32,trairi,-3.2778,-39.2689,24.94,84,6,3.67,BR,1718762015
33,bertoua,4.5833,13.6833,19.55,97,63,0.46,CM,1718762015
34,cherdakly,54.3594,48.845,19.97,88,0,2.0,RU,1718762015
35,las khorey,11.1595,48.1967,31.45,58,33,2.51,SO,1718762016
36,labytnangi,66.6572,66.4183,4.29,47,0,4.42,RU,1718762016
37,jeju city,33.5097,126.5219,26.96,57,0,1.54,KR,1718762016
38,corn island,12.1694,-83.0418,28.13,79,100,6.73,NI,1718762016
39,pasni,25.2631,63.471,28.23,81,70,2.71,PK,1718762017
40,atafu village,-8.5421,-172.5159,28.54,76,88,6.4,TK,1718762017
